ceiling_height,building_xlen,wwr,vert_shading,floor_u,floor_ct,roof_u,roof_ct,roof_absorptance,extwall_u,extwall_ct,extwall_absorptance,intwall_u,intwall_ct,shgc_jan,u_jan,shgc_zen,u_zen,people,lights,equip,paz,lat,alt,dbt_mean,dbt_25p,dbt_75p,ws_mean,ws_25p,ws_75p,ghr_mean,ghr_25p,ghr_75p,dpt_mean,dpt_25p,dpt_75p,sur_angle,shd_angle,schedule_SCH_10H,schedule_SCH_12H,schedule_SCH_16H,schedule_SCH_24H,schedule_SCH_8H,is_1pvto_0,is_1pvto_1,floor_exp_0,floor_exp_1,roof_exp_0,roof_exp_1,apt_near_0,apt_near_1,is_perimetral_0,is_perimetral_1,app_ori_-360,app_ori_0,app_ori_45,app_ori_90,app_ori_135,app_ori_180,app_ori_225,app_ori_270,app_ori_315
6.15,16.0,0.0,90.0,2.75,265.0,2.75,265.0,0.0,-6.0,-400.0,0.0,2.66,212.5,0.0,0.0,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,60.29385764176765,24.94034264695081,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6.15,25.0,0.5,12.86,2.75,265.0,2.75,265.0,0.0,2.62,235.0,0.54,2.66,212.5,0.55,3.75,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,60.29385764176765,24.94034264695081,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
6.15,25.0,0.5,12.86,2.75,265.0,2.75,265.0,0.0,2.62,235.0,0.54,2.66,212.5,0.55,3.75,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,60.29385764176765,24.94034264695081,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
6.15,25.0,0.5,12.86,2.75,265.0,2.75,265.0,0.0,2.62,235.0,0.54,2.66,212.5,0.55,3.75,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,60.29385764176765,24.94034264695081,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
6.15,25.0,0.5,12.86,2.75,265.0,2.75,265.0,0.0,2.62,235.0,0.54,2.66,212.5,0.55,3.75,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,60.29385764176765,24.94034264695081,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
6.15,16.0,0.0,90.0,2.75,265.0,2.75,265.0,0.0,-6.0,-400.0,0.0,2.66,212.5,0.0,0.0,0.0,0.0,0.52,21.5,31.5,0.0,-28.600000000000005,52.0,19.441666666666663,18.191666666666663,20.735,6.580000000000002,3.5400000000000005,9.095,4557.029166666667,3276.25,5959.458333333333,16.565833333333334,15.233333333333333,18.42,27.59831858295442,24.94034264695081,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
